dataset,share_of_trucks_in_trucks_and_vans
BE1_region_de_bruxelles_capitalebrussels_hoofdstedelijk_gewest,1.0
BE2_vlaams_gewest,1.0
BE3_region_wallonne,1.0
BEBU4402101_muide_meulestede,0.9999719547429482
BEGM11002_antwerpen,0.9908721480959717
BEGM13040_turnhout,0.9907989020574567
BEGM35013_oostende,0.9907979273279202
BU00090000_ten_boer,1.0
BU00090001_garmerwolde,1.0
BU00090002_thesinge,1.0
BU00090003_sint_annen,1.0
BU00090005_achter_thesinge_en_bovenrijge,1.0
BU00090009_verspreide_huizen_ten_noorden_van_het_eemskanaal,1.0
BU00090100_ten_post,1.0
BU00090101_winneweer_gedeeltelijk,1.0
BU00090102_woltersum,1.0
BU00090104_wittewierum,1.0
BU00090106_lellens,1.0
BU00090109_verspreide_huizen_ten_noorden_van_het_eemskanaal,1.0
BU00140000_binnenstad_noord,1.0
BU00140001_binnenstad_zuid,1.0
BU00140002_binnenstad_oost,1.0
BU00140003_binnenstad_west,1.0
BU00140004_noorderplantsoen,1.0
BU00140005_hortusbuurt_ebbingekwartier,1.0
BU00140007_umcg,1.0
BU00140008_stationsgebied,1.0
BU00140100_de_meeuwen,1.0
BU00140101_oosterpoort,1.0
BU00140102_herewegbuurt,1.0
BU00140103_rivierenbuurt,1.0
BU00140104_grunobuurt,1.0
BU00140105_badstratenbuurt,1.0
BU00140106_zeeheldenbuurt,1.0
BU00140107_laanhuizen,1.0
BU00140108_stadspark,1.0
BU00140109_martini_trade_park,1.0
BU00140200_oranjebuurt,1.0
BU00140201_noorderplantsoenbuurt,1.0
BU00140202_schildersbuurt,1.0
BU00140203_kostverloren,1.0
BU00140300_de_hoogte,1.0
BU00140301_indische_buurt,1.0
BU00140302_professorenbuurt,1.0
BU00140400_gorechtbuurt,1.0
BU00140401_vogelbuurt,1.0
BU00140402_bloemenbuurt,1.0
BU00140403_florabuurt,1.0
BU00140404_damsterbuurt,1.0
BU00140500_de_linie,1.0
BU00140501_europapark,1.0
BU00140502_eemskanaal,1.0
BU00140503_kop_van_oost,1.0
BU00140504_woonschepenhaven,1.0
BU00140505_driebond,1.0
BU00140506_eemspoort,1.0
BU00140507_euvelgunne,1.0
BU00140508_winschoterdiep,1.0
BU00140509_stainkoeln,1.0
BU00140510_roodehaan,1.0
BU00140511_waterhuizen,1.0
BU00140600_sterrebosbuurt,1.0
BU00140601_coendersborg,1.0
BU00140602_klein_martijn,1.0
BU00140603_villabuurt,1.0
BU00140604_helpman,1.0
BU00140605_de_wijert,1.0
BU00140606_de_wijert_zuid,1.0
BU00140700_corpus_den_hoorn,1.0
BU00140701_hoornse_meer,1.0
BU00140702_hoornse_park,1.0
BU00140703_van_swieten,1.0
BU00140704_piccardthof,1.0
BU00140705_bruilweering,1.0
BU00140800_hoogkerk_dorp,1.0
BU00140801_hoogkerk_zuid,1.0
BU00140802_westpoort,1.0
BU00140803_vierverlaten,1.0
BU00140804_zuidwending,1.0
BU00140805_leegkerk,1.0
BU00140806_gravenburg,1.0
BU00140807_suikerfabriekterrein,1.0
BU00140808_peizerweg,1.0
BU00140809_bangeweer,1.0
BU00140810_de_buitenhof,1.0
BU00140811_kranenburg,1.0
BU00140812_de_kring,1.0
BU00140900_vinkhuizen_noord,1.0
BU00140901_vinkhuizen_zuid,1.0
BU00140902_hoendiep,1.0
BU00140903_friesestraatweg,1.0
BU00140904_reitdiep,1.0
BU00140905_dorkwerd,1.0
BU00140906_de_held,1.0
BU00140907_westpark,1.0
BU00141000_selwerd,1.0
BU00141001_paddepoel_zuid,1.0
BU00141002_paddepoel_noord,1.0
BU00141003_zernike_campus,1.0
BU00141004_selwerderhof,1.0
BU00141005_tuinwijk,1.0
BU00141100_beijum_west,1.0
BU00141101_beijum_oost,1.0
BU00141102_de_hunze,1.0
BU00141103_van_starkenborgh,1.0
BU00141104_noorderhoogebrug,1.0
BU00141105_het_witte_lam,1.0
BU00141106_koningslaagte,1.0
BU00141107_hunzeboord,1.0
BU00141200_lewenborg_noord,1.0
BU00141201_lewenborg_zuid,1.0
BU00141202_lewenborg_west,1.0
BU00141203_oosterhoogebrug,1.0
BU00141204_ulgersmaborg,1.0
BU00141205_hunzepark,1.0
BU00141206_zilvermeer,1.0
BU00141207_kardinge,1.0
BU00141208_drielanden,1.0
BU00141209_noorddijk,1.0
BU00141210_ruischerbrug,1.0
BU00141211_ruischerwaard,1.0
BU00141300_middelbert,1.0
BU00141301_engelbert,1.0
BU00141302_klein_harkstede,1.0
BU00141400_meerstad,1.0
BU00141401_harkstede,1.0
BU00141402_lageland,1.0
BU00170000_haren,1.0
BU00170001_oosterhaar,1.0
BU00170002_voorveld,1.0
BU00170003_harenermolen,1.0
BU00170004_glimmen,1.0
BU00170005_hemmen,1.0
BU00170100_noordlaren,1.0
BU00170101_onnen,1.0
BU00170102_paterswolde_gedeeltelijk,1.0
BU00170103_essen,1.0
BU00170106_verspreide_huizen_ten_westen_van_noord_willemskanaal,1.0
BU00170107_verspreide_huizen_op_de_hondsrug,1.0
BU00170108_verspreide_huizen_onner_esch,1.0
BU00170109_verspreide_huizen_ten_oosten_van_de_hondsrug,1.0
BU19660506_oudeschip,1.0
DE1_baden_wurttemberg,1.0
DE2_bayern,1.0
DE3_berlin,1.0
DE4_brandenburg,1.0
DE5_bremen,1.0
DE6_hamburg,1.0
DE7_hessen,1.0
DE8_mecklenburg_vorpommern,1.0
DE9_niedersachsen,1.0
DEA_nordrhein_westfalen,1.0
DEB_rheinland_pfalz,1.0
DEC_saarland,1.0
DED_sachsen,1.0
DEE_sachsen_anhalt,1.0
DEF_schleswig_holstein,1.0
DEG_thuringen,1.0
GM0014_groningen,0.99493040733535
GM0034_almere,0.9944930761647738
GM0050_zeewolde,0.9987809420521294
GM0059_achtkarspelen,0.9976116546153938
GM0060_ameland,0.9967214795686208
GM0072_harlingen,0.9970748169506654
GM0074_heerenveen,0.9971620238984545
GM0080_leeuwarden,0.9952683128459321
GM0085_ooststellingwerf,0.9974376784151944
GM0088_schiermonnikoog,0.9983728879242525
GM0090_smallingerland,0.9967273895941469
GM0093_terschelling,0.9952075041980594
GM0096_vlieland,0.9826425757706547
GM0098_weststellingwerf,0.9976687905388228
GM0141_almelo,0.9970379375314553
GM0147_borne,0.9981979869937794
GM0148_dalfsen,0.9980582480110207
GM0150_deventer,0.997285136870034
GM0153_enschede,0.9951928422819011
GM0158_haaksbergen,0.996407091091059
GM0160_hardenberg,0.9982444450027598
GM0163_hellendoorn,0.9963286566649948
GM0164_hengelo,0.996277414588973
GM0166_kampen,0.9975680421999282
GM0168_losser,0.9979127194898273
GM0171_noordoostpolder,0.9986628071178189
GM0173_oldenzaal,0.9965206739420771
GM0175_ommen,0.9987071499850461
GM0177_raalte,0.9982558365040365
GM0180_staphorst,0.9990269462533216
GM0183_tubbergen,0.9981760416187195
GM0184_urk,0.994693281496645
GM0189_wierden,0.9987491019622448
GM0193_zwolle,0.9968592687346047
GM0197_aalten,0.9978801110119782
GM0200_apeldoorn,0.9972997276867694
GM0202_arnhem,0.9971817490529861
GM0203_barneveld,0.9981059578208346
GM0209_beuningen,0.9984625284536311
GM0213_brummen,0.9981104366683384
GM0214_buren,0.9981020999033278
GM0216_culemborg,0.9977241612913107
GM0221_doesburg,0.996107967842574
GM0222_doetinchem,0.996611687162279
GM0225_druten,0.997766329564351
GM0226_duiven,0.9976126882101249
GM0228_ede,0.9976013080365044
GM0230_elburg,0.9981684762244774
GM0232_epe,0.9980768903335364
GM0233_ermelo,0.9969012104566888
GM0243_harderwijk,0.9974205885070181
GM0244_hattem,0.9986223879299627
GM0246_heerde,0.9979165249602551
GM0252_heumen,0.9975323055819454
GM0262_lochem,0.9976990768247617
GM0263_maasdriel,0.9981932281884736
GM0267_nijkerk,0.9975183102793819
GM0268_nijmegen,0.9934916580758582
GM0269_oldebroek,0.99854295220213
GM0273_putten,0.9979311232740494
GM0274_renkum,0.9979408159902445
GM0275_rheden,0.996517676782201
GM0277_rozendaal,0.9897966997745462
GM0279_scherpenzeel,0.9981136614798212
GM0281_tiel,0.9977758756404754
GM0285_voorst,0.9981726939733909
GM0289_wageningen,0.9931589939130077
GM0293_westervoort,0.9937646050677957
GM0294_winterswijk,0.9973705954067419
GM0296_wijchen,0.9977336551171897
GM0297_zaltbommel,0.9982281526542751
GM0299_zevenaar,0.9978347870092428
GM0301_zutphen,0.9959928290952084
GM0302_nunspeet,0.997799923802753
GM0303_dronten,0.9985428773291897
GM0307_amersfoort,0.9970238283337731
GM0307_amersfoort_2016,0.9998425476989242
GM0308_baarn,0.9968755078056091
GM0310_de_bilt,0.9973699303666161
GM0312_bunnik,0.9978549414288808
GM0313_bunschoten,0.9961139804529608
GM0317_eemnes,0.9986387341346723
GM0321_houten,0.9972208397742943
GM0327_leusden,0.9970930400523997
GM0331_lopik,0.998008650340368
GM0335_montfoort,0.996861427373179
GM0339_renswoude,0.9980648041189829
GM0340_rhenen,0.9966849265755829
GM0342_soest,0.9950599438636812
GM0344_utrecht,0.9958208946296646
GM0345_veenendaal,0.9959994936329007
GM0351_woudenberg,0.9980808168553716
GM0352_wijk_bij_duurstede,0.9964866496474527
GM0353_ijsselstein,0.9962656945096806
GM0355_zeist,0.9971396413115683
GM0356_nieuwegein,0.9975094415612532
GM0358_aalsmeer,0.9954376207079595
GM0361_alkmaar,0.9964229478250614
GM0362_amstelveen,0.9947515777531022
GM0363_amsterdam,0.995354745963331
GM0370_beemster,0.9984510231375899
GM0373_bergen,0.9942328752605694
GM0375_beverwijk,0.9947612676991728
GM0376_blaricum,0.9969443829686385
GM0377_bloemendaal,0.9905472302621029
GM0383_castricum,0.9959282217094633
GM0384_diemen,0.9970719038351854
GM0385_edam_volendam,0.9960109217194228
GM0388_enkhuizen,0.9964018957023272
GM0392_haarlem,0.9920478191901805
GM0394_haarlemmermeer,0.997118591293329
GM0396_heemskerk,0.9941421426302599
GM0397_heemstede,0.992615408060651
GM0398_heerhugowaard,0.9947640918287208
GM0399_heiloo,0.9949503510979258
GM0400_den_helder,0.9936240386283395
GM0402_hilversum,0.9945146755475818
GM0405_hoorn,0.9937567901745292
GM0406_huizen,0.9932514253105036
GM0415_landsmeer,0.9851859857856198
GM0416_langedijk,0.9964660382362472
GM0417_laren,0.9976636351695645
GM0420_medemblik,0.9974644691567155
GM0431_oostzaan,0.9982687497571874
GM0432_opmeer,0.9974316967185141
GM0437_ouder_amstel,0.9982512265474186
GM0439_purmerend,0.9928868126744813
GM0441_schagen,0.9971148365109724
GM0448_texel,0.9979609820443065
GM0450_uitgeest,0.9974452455526911
GM0451_uithoorn,0.9948820810486129
GM0453_velsen,0.9954223879416161
GM0457_weesp,0.9958993328323434
GM0473_zandvoort,0.9931460179456604
GM0479_zaanstad,0.9957147141183047
GM0482_alblasserdam,0.9962599210925744
GM0484_alphen_aan_den_rijn,0.9966518011175907
GM0489_barendrecht,0.9979560862939246
GM0498_drechterland,0.9978144524891589
GM0501_brielle,0.9959182504452521
GM0502_capelle_aan_den_ijssel,0.9943566328576264
GM0503_delft,0.9956984757995961
GM0505_dordrecht,0.9969762823405838
GM0512_gorinchem,0.9983907957274292
GM0513_gouda,0.9932370324970335
GM0518_s_gravenhage,0.9934822655613011
GM0523_hardinxveld_giessendam,0.9986793766170506
GM0530_hellevoetsluis,0.9946927078791532
GM0531_hendrik_ido_ambacht,0.9967851078916179
GM0532_stede_broec,0.9964383524473306
GM0534_hillegom,0.9944084817673877
GM0537_katwijk,0.9948948153908759
GM0542_krimpen_aan_den_ijssel,0.9942355309119896
GM0546_leiden,0.9952059885167374
GM0547_leiderdorp,0.9967385519644061
GM0553_lisse,0.9951987750779371
GM0556_maassluis,0.9945217409155238
GM0569_nieuwkoop,0.9972725816695763
GM0575_noordwijk,0.9958564960555962
GM0579_oegstgeest,0.9953339599146365
GM0589_oudewater,0.9972324115156741
GM0590_papendrecht,0.9975235411092621
GM0597_ridderkerk,0.9979597673435096
GM0599_rotterdam,0.9976237602847601
GM0599_rotterdam_no_industry,0.9999298701403384
GM0603_rijswijk,0.9941539046087791
GM0606_schiedam,0.9974428083985954
GM0610_sliedrecht,0.9971086574205444
GM0613_albrandswaard,0.9952829643769648
GM0614_westvoorne,0.9967952185962533
GM0622_vlaardingen,0.9962327529119369
GM0626_voorschoten,0.9931153052403434
GM0627_waddinxveen,0.9982102333815288
GM0629_wassenaar,0.9944324109691599
GM0632_woerden,0.9983026587654572
GM0637_zoetermeer,0.9951367011649251
GM0638_zoeterwoude,0.9970750485416434
GM0642_zwijndrecht,0.9968910165967279
GM0654_borsele,0.9979238850506699
GM0664_goes,0.997382175943549
GM0668_west_maas_en_waal,0.9978492097330245
GM0677_hulst,0.9974805065993254
GM0678_kapelle,0.9982840748719498
GM0687_middelburg,0.9959505803324479
GM0703_reimerswaal,0.9990225171510664
GM0715_terneuzen,0.9975422272733109
GM0716_tholen,0.9979376397538404
GM0717_veere,0.9969681326153536
GM0718_vlissingen,0.9962028758349954
GM0736_de_ronde_venen,0.9977885350291325
GM0737_tytsjerksteradiel,0.9971651804139122
GM0744_baarle_nassau,0.9981846772877481
GM0748_bergen_op_zoom,0.997763045694668
GM0755_boekel,0.9973271534548881
GM0758_breda,0.9975125112074552
GM0762_deurne,0.9985602568503202
GM0765_pekela,0.9974378202898351
GM0766_dongen,0.9951845692650653
GM0777_etten_leur,0.9967165188318099
GM0779_geertruidenberg,0.9983416249009911
GM0784_gilze_en_rijen,0.998622616966064
GM0785_goirle,0.996687030393214
GM0796_s_hertogenbosch,0.996821038165039
GM0797_heusden,0.9974504312765795
GM0798_hilvarenbeek,0.9976734567458474
GM0809_loon_op_zand,0.9965627539466531
GM0824_oisterwijk,0.9975166557230978
GM0826_oosterhout,0.9974991509134445
GM0840_rucphen,0.9982343362270603
GM0851_steenbergen,0.9987631655582151
GM0852_waterland,0.9928164958522965
GM0855_tilburg,0.9968726385070706
GM0861_veldhoven,0.9966932849159985
GM0867_waalwijk,0.9976605042585829
GM0880_wormerland,0.9975536016753522
GM0995_lelystad,0.9982851017506481
GM1509_oude_ijsselstreek,0.9975664734236139
GM1525_teylingen,0.997206514971748
GM1581_utrechtse_heuvelrug,0.9973906439404439
GM1586_oost_gelre,0.9976879931108302
GM1598_koggenland,0.9981011182608059
GM1621_lansingerland,0.9965796700686456
GM1655_halderberge,0.9978482606958816
GM1674_roosendaal,0.997140650084543
GM1676_schouwen_duiveland,0.997550676413867
GM1680_aa_en_hunze,0.9972172692267267
GM1681_borger_odoorn,0.9954753543777882
GM1690_de_wolden,0.9987042512968225
GM1695_noord_beveland,0.9979100478875734
GM1696_wijdemeren,0.9941276938863085
GM1699_noordenveld,0.9951475608217034
GM1700_twenterand,0.9971146224981666
GM1701_westerveld,0.9981582865279208
GM1705_lingewaard,0.9959622451857034
GM1708_steenwijkerland,0.9979436179653347
GM1709_moerdijk,0.9990763722895575
GM1714_sluis,0.9983364152422274
GM1719_drimmelen,0.9981120915171938
GM1723_alphen_chaam,0.9979619544977705
GM1724_bergeijk,0.9970450820656052
GM1728_bladel,0.9986153820125248
GM1730_tynaarlo,0.9961280389591279
GM1731_midden_drenthe,0.9983771798187395
GM1734_overbetuwe,0.9986005926057036
GM1735_hof_van_twente,0.9978876892759724
GM1740_neder_betuwe,0.998962944696613
GM1742_rijssen_holten,0.9980765494764915
GM1773_olst_wijhe,0.9979577478962889
GM1774_dinkelland,0.9980277530183659
GM1783_westland,0.9974367862421841
GM1842_midden_delfland,0.9986310808358776
GM1859_berkelland,0.9978304504284321
GM1876_bronckhorst,0.997951273566236
GM1884_kaag_en_braassem,0.9984572270918332
GM1891_dantumadiel,0.9958963006941521
GM1892_zuidplas,0.9984640004544909
GM1895_oldambt,0.9973252065797965
GM1896_zwartewaterland,0.9971907559096789
GM1901_bodegraven_reeuwijk,0.99881436670854
GM1904_stichtse_vecht,0.9980120920912708
GM1911_hollands_kroon,0.9984806226613069
GM1916_leidschendam_voorburg,0.9968013757803947
GM1924_goeree_overflakkee,0.997759003871926
GM1926_pijnacker_nootdorp,0.9956027079183875
GM1930_nissewaard,0.9941375958065995
GM1931_krimpenerwaard,0.9974550981475879
GM1940_de_fryske_marren,0.9981051760638384
GM1942_gooise_meren,0.9973523651803015
GM1945_berg_en_dal,0.9945409127429001
GM1948_meierijstad,0.9976039452240979
GM1950_westerwolde,0.9968351454610851
GM1952_midden_groningen,0.9973963337949399
GM1955_montferland,0.9979305270938629
GM1960_west_betuwe,0.9989180179429937
GM1961_vijfheerenlanden,0.9984344912872577
GM1963_hoeksche_waard,0.997639253883374
GM1966_het_hogeland,0.9978327187258994
GM1970_noardeast_fryslan,0.9964953413914258
GM1978_molenlanden,0.9982827409132896
PV20_groningen,1.0
PV21_friesland,1.0
PV22_drenthe,1.0
PV23_overijssel,1.0
PV24_flevoland,1.0
PV25_gelderland,1.0
PV26_utrecht,1.0
PV27_noord_holland,1.0
PV28_zuid_holland,1.0
PV29_zeeland,1.0
PV30_noord_brabant,1.0
PV31_limburg,1.0
RES01_achterhoek,1.0
RES02_drechtsteden,1.0
RES03_regio_drenthe,1.0
RES04_flevoland,1.0
RES05_foodvalley,1.0
RES06_regio_friesland,1.0
RES07_goeree_overflakkee,1.0
RES08_groningen,1.0
RES09_hart_van_brabant,1.0
RES10_hoeksewaard,1.0
RES11_holland_rijnland,1.0
RES12_metropoolregio_eindhoven,1.0
RES13_rotterdam_denhaag,1.0
RES14_midden_holland,1.0
RES16_noord_holland_noord,1.0
RES17_noord_holland_zuid,1.0
RES18_noord_veluwe,1.0
RES19_noord_en_midden_limburg,1.0
RES20_noord_oost_brabant,1.0
RES21_alblasserwaard,1.0
RES22_amersfoort,1.0
RES23_arnhem_nijmegen,1.0
RES24_u16,1.0
RES25_rivierenland_fruitdelta,1.0
RES26_cleantechregio,1.0
RES27_twente,1.0
RES28_west_brabant,1.0
RES29_west_overijssel,1.0
RES30_zeeland,1.0
RES31_zuid_limburg,1.0
RGAMS01_haven_stad,1.0
RGBRE01_breda_steenakker_biz,1.0
RGGD01_groningen_drenthe,1.0
RGGLD01_gelderland_plus,1.0
RGGR12_groningen_zonder_gemeente,0.9998392394187764
RGHLD01_heerhugowaard_langedijk,1.0
RGNB01_west_en_midden_brabant,1.0
RGNH01_ijmond_zuid_kennemerland,1.0
RGNH02_zaanstreek_waterland,1.0
RGNH03_gooi_en_vechtstreek,1.0
RGNH04_amstelland_meerlanden,1.0
RGNH05_kop_van_noord_holland,1.0
RGNH06_regio_alkmaar,1.0
RGNH07_west_friesland,1.0
RGNH08_buch_regio,1.0
de,0.9908497688825028
dk,0.9909476191327343
eu,0.9907841571283609
hengstdal,1.0
nl,0.9906812728618278
nl2016,0.9906812728618278
nl2017,0.9906812728618278
nl2018,0.9906812728618278
nl2019,0.9912283869629092
rotterdam,0.9999298701403384
warmerwijk,1.0
AT_austria,0.9966536591935863
BE_belgium,0.9908291449963302
BG_bulgaria,0.9930300492136361
CY_cyprus,0.9385958224043202
CZ_czechia,0.994273711455464
DE_germany,0.996576022220442
DK_denmark,0.9903031676500619
EE_estonia,0.9911170239591347
EL_greece,0.9929349018064882
ES_spain,0.9941376298043799
FI_finland,0.989273588636367
FR_france,0.9825975047389172
HR_croatia,0.993591834629152
HU_hungary,0.9924810493253117
IE_ireland,0.9913173572047309
IT_italy,0.9837461292312092
LT_lithuania,0.9970946444413749
LU_luxembourg,0.9992168634247414
LV_latvia,0.9944006390088248
PL_poland,0.9928210115794637
PT_portugal,0.9830415108977326
RO_romania,0.9821327268850786
SE_sweden,0.9935375016920602
SI_slovenia,0.9964520260863111
SK_slovakia,0.9961452082025264
UKNI01_northern_ireland,0.9938236297117177
UK_united_kingdom,0.987190510135338
